geo,year,EULaborMarket-SectoralEmployment__total_employment
CZ0,2008,5204080.0
CZ0,2008,5204080.0
CZ0,2008,5204080.0
CZ0,2008,5204080.0
CZ0,2008,5204080.0
CZ0,2008,5204080.0
CZ0,2008,5204080.0
CZ0,2008,5204080.0
CZ0,2008,5204080.0
CZ0,2008,5204080.0
CZ0,2008,5204080.0
CZ0,2008,5204080.0
CZ0,2008,5204080.0
CZ0,2008,5204080.0
CZ0,2008,5204080.0
CZ0,2008,5204080.0
CZ0,2008,5204080.0
CZ0,2008,5204080.0
CZ0,2008,5204080.0
CZ0,2008,5204080.0
CZ0,2008,5204080.0
CZ0,2008,5204080.0
CZ0,2008,5204080.0
CZ0,2008,5204080.0
CZ0,2008,5204080.0
CZ0,2008,5204080.0
CZ0,2008,5204080.0
CZ0,2008,5204080.0
CZ0,2008,5204080.0
CZ0,2008,5204080.0
CZ0,2008,5204080.0
CZ0,2008,5204080.0
CZ0,2008,5204080.0
CZ0,2008,5204080.0
CZ0,2008,5204080.0
CZ0,2008,5204080.0
CZ0,2008,5204080.0
CZ0,2008,5204080.0
CZ0,2008,5204080.0
CZ0,2008,5204080.0
CZ0,2008,5204080.0
CZ0,2008,5204080.0
CZ0,2009,5110100.0
CZ0,2009,5110100.0
CZ0,2009,5110100.0
CZ0,2009,5110100.0
CZ0,2009,5110100.0
CZ0,2009,5110100.0
CZ0,2009,5110100.0
CZ0,2009,5110100.0
CZ0,2009,5110100.0
CZ0,2009,5110100.0
CZ0,2009,5110100.0
CZ0,2009,5110100.0
CZ0,2009,5110100.0
CZ0,2009,5110100.0
CZ0,2009,5110100.0
CZ0,2009,5110100.0
CZ0,2009,5110100.0
CZ0,2009,5110100.0
CZ0,2009,5110100.0
CZ0,2009,5110100.0
CZ0,2009,5110100.0
CZ0,2009,5110100.0
CZ0,2009,5110100.0
CZ0,2009,5110100.0
CZ0,2009,5110100.0
CZ0,2009,5110100.0
CZ0,2009,5110100.0
CZ0,2009,5110100.0
CZ0,2009,5110100.0
CZ0,2009,5110100.0
CZ0,2009,5110100.0
CZ0,2009,5110100.0
CZ0,2009,5110100.0
CZ0,2009,5110100.0
CZ0,2009,5110100.0
CZ0,2009,5110100.0
CZ0,2009,5110100.0
CZ0,2009,5110100.0
CZ0,2009,5110100.0
CZ0,2009,5110100.0
CZ0,2009,5110100.0
CZ0,2009,5110100.0
CZ0,2010,5057240.0
CZ0,2010,5057240.0
CZ0,2010,5057240.0
CZ0,2010,5057240.0
CZ0,2010,5057240.0
CZ0,2010,5057240.0
CZ0,2010,5057240.0
CZ0,2010,5057240.0
CZ0,2010,5057240.0
CZ0,2010,5057240.0
CZ0,2010,5057240.0
CZ0,2010,5057240.0
CZ0,2010,5057240.0
CZ0,2010,5057240.0
CZ0,2010,5057240.0
CZ0,2010,5057240.0
CZ0,2010,5057240.0
CZ0,2010,5057240.0
CZ0,2010,5057240.0
CZ0,2010,5057240.0
CZ0,2010,5057240.0
CZ0,2010,5057240.0
CZ0,2010,5057240.0
CZ0,2010,5057240.0
CZ0,2010,5057240.0
CZ0,2010,5057240.0
CZ0,2010,5057240.0
CZ0,2010,5057240.0
CZ0,2010,5057240.0
CZ0,2010,5057240.0
CZ0,2010,5057240.0
CZ0,2010,5057240.0
CZ0,2010,5057240.0
CZ0,2010,5057240.0
CZ0,2010,5057240.0
CZ0,2010,5057240.0
CZ0,2010,5057240.0
CZ0,2010,5057240.0
CZ0,2010,5057240.0
CZ0,2010,5057240.0
CZ0,2010,5057240.0
CZ0,2010,5057240.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
