geo,year,EULaborMarket-SectoralEmployment__sector_employment
AT1,2008,526800.0
AT1,2008,526800.0
AT1,2008,526800.0
AT1,2009,520300.0
AT1,2009,488800.0
AT1,2009,520300.0
AT1,2009,488800.0
AT1,2009,520300.0
AT1,2009,488800.0
AT1,2010,524600.0
AT1,2010,496400.0
AT1,2010,524600.0
AT1,2010,496400.0
AT1,2010,524600.0
AT1,2010,496400.0
AT1,2011,537500.0
AT1,2011,501900.0
AT1,2011,537500.0
AT1,2011,501900.0
AT1,2011,537500.0
AT1,2011,501900.0
AT1,2011,537500.0
AT1,2011,501900.0
AT1,2011,537500.0
AT1,2011,501900.0
AT1,2011,537500.0
AT1,2011,501900.0
AT1,2011,537500.0
AT1,2011,501900.0
AT1,2011,537500.0
AT1,2011,501900.0
AT1,2011,537500.0
AT1,2011,501900.0
AT1,2011,537500.0
AT1,2011,501900.0
AT1,2011,537500.0
AT1,2011,501900.0
AT1,2011,537500.0
AT1,2011,501900.0
AT1,2011,537500.0
AT1,2011,501900.0
AT1,2011,537500.0
AT1,2011,501900.0
AT1,2011,537500.0
AT1,2011,501900.0
AT1,2011,537500.0
AT1,2011,501900.0
AT1,2011,537500.0
AT1,2011,501900.0
AT1,2011,537500.0
AT1,2011,501900.0
AT1,2011,537500.0
AT1,2011,501900.0
AT1,2011,537500.0
AT1,2011,501900.0
AT1,2011,537500.0
AT1,2011,501900.0
AT1,2011,537500.0
AT1,2011,501900.0
AT1,2011,537500.0
AT1,2011,501900.0
AT1,2011,537500.0
AT1,2011,501900.0
AT1,2011,537500.0
AT1,2011,501900.0
AT1,2011,537500.0
AT1,2011,501900.0
AT1,2011,537500.0
AT1,2011,501900.0
AT1,2011,537500.0
AT1,2011,501900.0
AT1,2011,537500.0
AT1,2011,501900.0
AT1,2011,537500.0
AT1,2011,501900.0
AT1,2011,537500.0
AT1,2011,501900.0
AT1,2011,537500.0
AT1,2011,501900.0
AT1,2011,537500.0
AT1,2011,501900.0
AT1,2011,537500.0
AT1,2011,501900.0
AT1,2011,537500.0
AT1,2011,501900.0
AT1,2011,537500.0
AT1,2011,501900.0
AT1,2011,537500.0
AT1,2011,501900.0
AT1,2011,537500.0
AT1,2011,501900.0
AT1,2011,537500.0
AT1,2011,501900.0
AT1,2011,537500.0
AT1,2011,501900.0
AT1,2011,537500.0
AT1,2011,501900.0
AT1,2011,537500.0
AT1,2011,501900.0
AT1,2011,537500.0
AT1,2011,501900.0
AT1,2011,537500.0
AT1,2011,501900.0
AT1,2011,537500.0
AT1,2011,501900.0
AT1,2012,544400.0
AT1,2012,510500.0
AT1,2012,544400.0
AT1,2012,510500.0
AT1,2012,544400.0
AT1,2012,510500.0
AT1,2012,544400.0
AT1,2012,510500.0
AT1,2012,544400.0
AT1,2012,510500.0
AT1,2012,544400.0
AT1,2012,510500.0
AT1,2012,544400.0
AT1,2012,510500.0
AT1,2012,544400.0
AT1,2012,510500.0
AT1,2012,544400.0
AT1,2012,510500.0
AT1,2012,544400.0
AT1,2012,510500.0
AT1,2012,544400.0
AT1,2012,510500.0
AT1,2012,544400.0
AT1,2012,510500.0
AT1,2012,544400.0
AT1,2012,510500.0
AT1,2012,544400.0
AT1,2012,510500.0
AT1,2012,544400.0
AT1,2012,510500.0
AT1,2012,544400.0
AT1,2012,510500.0
AT1,2012,544400.0
AT1,2012,510500.0
AT1,2012,544400.0
AT1,2012,510500.0
AT1,2012,544400.0
AT1,2012,510500.0
AT1,2012,544400.0
AT1,2012,510500.0
AT1,2012,544400.0
AT1,2012,510500.0
AT1,2012,544400.0
AT1,2012,510500.0
AT1,2012,544400.0
AT1,2012,510500.0
AT1,2012,544400.0
AT1,2012,510500.0
AT1,2012,544400.0
AT1,2012,510500.0
AT1,2012,544400.0
AT1,2012,510500.0
AT1,2012,544400.0
AT1,2012,510500.0
AT1,2012,544400.0
AT1,2012,510500.0
AT1,2012,544400.0
AT1,2012,510500.0
AT1,2012,544400.0
AT1,2012,510500.0
AT1,2012,544400.0
AT1,2012,510500.0
AT1,2012,544400.0
AT1,2012,510500.0
AT1,2012,544400.0
AT1,2012,510500.0
AT1,2012,544400.0
AT1,2012,510500.0
AT1,2012,544400.0
AT1,2012,510500.0
AT1,2012,544400.0
AT1,2012,510500.0
AT1,2012,544400.0
AT1,2012,510500.0
AT1,2012,544400.0
AT1,2012,510500.0
AT1,2012,544400.0
AT1,2012,510500.0
AT1,2012,544400.0
AT1,2012,510500.0
AT1,2012,544400.0
AT1,2012,510500.0
AT1,2012,544400.0
AT1,2012,510500.0
AT1,2012,544400.0
AT1,2012,510500.0
AT1,2012,544400.0
AT1,2012,510500.0
AT1,2012,544400.0
AT1,2012,510500.0
AT1,2013,546500.0
AT1,2013,478900.0
AT1,2013,513800.0
AT1,2013,546500.0
AT1,2013,478900.0
