geo,year,EULaborMarket-TotalEmployment__total_employment
CZ0,2008,4994600.0
CZ0,2008,4994600.0
CZ0,2008,4994600.0
CZ0,2008,4994600.0
CZ0,2008,4994600.0
CZ0,2008,4994600.0
CZ0,2008,4994600.0
CZ0,2008,4994600.0
CZ0,2008,4994600.0
CZ0,2008,4994600.0
CZ0,2008,4994600.0
CZ0,2008,4994600.0
CZ0,2008,4994600.0
CZ0,2008,4994600.0
CZ0,2008,4994600.0
CZ0,2008,4994600.0
CZ0,2008,4994600.0
CZ0,2008,4994600.0
CZ0,2008,4994600.0
CZ0,2008,4994600.0
CZ0,2008,4994600.0
CZ0,2008,4994600.0
CZ0,2008,4994600.0
CZ0,2008,4994600.0
CZ0,2008,4994600.0
CZ0,2008,4994600.0
CZ0,2008,4994600.0
CZ0,2008,4994600.0
CZ0,2008,4994600.0
CZ0,2008,4994600.0
CZ0,2008,4994600.0
CZ0,2008,4994600.0
CZ0,2008,4994600.0
CZ0,2008,4994600.0
CZ0,2008,4994600.0
CZ0,2008,4994600.0
CZ0,2008,4994600.0
CZ0,2008,4994600.0
CZ0,2008,4994600.0
CZ0,2008,4994600.0
CZ0,2008,4994600.0
CZ0,2008,4994600.0
CZ0,2009,4925900.0
CZ0,2009,4925900.0
CZ0,2009,4925900.0
CZ0,2009,4925900.0
CZ0,2009,4925900.0
CZ0,2009,4925900.0
CZ0,2009,4925900.0
CZ0,2009,4925900.0
CZ0,2009,4925900.0
CZ0,2009,4925900.0
CZ0,2009,4925900.0
CZ0,2009,4925900.0
CZ0,2009,4925900.0
CZ0,2009,4925900.0
CZ0,2009,4925900.0
CZ0,2009,4925900.0
CZ0,2009,4925900.0
CZ0,2009,4925900.0
CZ0,2009,4925900.0
CZ0,2009,4925900.0
CZ0,2009,4925900.0
CZ0,2009,4925900.0
CZ0,2009,4925900.0
CZ0,2009,4925900.0
CZ0,2009,4925900.0
CZ0,2009,4925900.0
CZ0,2009,4925900.0
CZ0,2009,4925900.0
CZ0,2009,4925900.0
CZ0,2009,4925900.0
CZ0,2009,4925900.0
CZ0,2009,4925900.0
CZ0,2009,4925900.0
CZ0,2009,4925900.0
CZ0,2009,4925900.0
CZ0,2009,4925900.0
CZ0,2009,4925900.0
CZ0,2009,4925900.0
CZ0,2009,4925900.0
CZ0,2009,4925900.0
CZ0,2009,4925900.0
CZ0,2009,4925900.0
CZ0,2010,4875000.0
CZ0,2010,4875000.0
CZ0,2010,4875000.0
CZ0,2010,4875000.0
CZ0,2010,4875000.0
CZ0,2010,4875000.0
CZ0,2010,4875000.0
