geo,year,EULaborMarket-TotalEmployment__population
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
