,0
greek_tourism_AvgExpenditureDuration__Avg_duration_of_stay_pct_diff,0.9915824915824916
greek_tourism_AvgExpenditureDuration__Avg_expenditure_per_stay_pct_diff,0.9915824915824916
greek_tourism_AvgExpenditureDuration__Avg_expenditure_per_journey_pct_diff,0.9915824915824916
greek_tourism_AvgExpenditureDuration__Avg_expenditure_per_stay,0.9905876951331497
greek_tourism_AvgExpenditureDuration__Avg_duration_of_stay,0.9905876951331497
greek_tourism_AvgExpenditureDuration__Avg_expenditure_per_journey,0.9905876951331497
greek_tourism_GFCF__GFCF_pct_diff,0.9710743801652892
greek_tourism_GFCF__GFCF_GHI,0.9697734925007653
greek_tourism_GFCF__NUTS_label_el,0.9697734925007653
greek_tourism_GFCF__GFCF_pct,0.9697734925007653
greek_tourism_GFCF__GFCF_Total,0.9697734925007653
greek_tourism_Turnover__Turnover_Accomodation_pct_diff,0.7442607897153352
greek_tourism_Turnover__Turnover_Catering_pct_diff,0.7420416284052648
greek_tourism_Turnover__Turnover_Accomodation,0.6810529537802265
greek_tourism_Turnover__Turnover_Catering,0.6796755433119069
greek_tourism_Arrivals__Hotel_Arrivals_Foreign_pct_diff,0.6460820324456689
greek_tourism_Arrivals__Hotel_Beds_pct_diff,0.6460820324456689
greek_tourism_Arrivals__Hotel_Arrivals_Total_pct_diff,0.6460820324456689
greek_tourism_Arrivals__Hotel_Arrivals_Natives_pct_diff,0.6460820324456689
greek_tourism_Stays__Hotel_Stays_Natives_pct_diff,0.6448576675849403
greek_tourism_Stays__Hotel_Stays_Total_pct_diff,0.6448576675849403
greek_tourism_Stays__Hotel_Stays_Foreign_pct_diff,0.6448576675849403
greek_tourism_Stays__Hotel_Occupancy_pct_diff,0.6448576675849403
greek_tourism_Arrivals__Hotel_Arrivals_Foreign,0.6297826752372206
greek_tourism_Arrivals__Hotel_Arrivals_Total,0.6297826752372206
greek_tourism_Arrivals__Hotel_Beds,0.6297826752372206
greek_tourism_Arrivals__Hotel_Arrivals_Natives,0.6297826752372206
greek_tourism_Stays__Hotel_Occupancy,0.6157790021426385
greek_tourism_Stays__Hotel_Beds,0.6157790021426385
greek_tourism_Stays__Hotel_Stays_Total,0.6157790021426385
greek_tourism_Stays__Hotel_Stays_Natives,0.6157790021426385
greek_tourism_Stays__Hotel_Stays_Foreign,0.6157790021426385
greek_tourism_GVA__GVA_GHI_pct_diff,0.6082032445668809
greek_tourism_GVA__GVA_GHI,0.6025405570860116
greek_tourism_GVA__GVA_GHI_pct,0.6025405570860116
greek_tourism_GVA__GVA_total,0.6025405570860116
nuts_label,0.5277012549739822
greek_tourism_GDP__GDP_pct_diff,0.46112641567187024
greek_tourism_GDP__GDP,0.4582950719314356
nuts_level,0.001224364860728497
geo,0.0
year,0.0
